Type,Country,Activity,Sex,Age,Fatal,Species
Unprovoked,USA,Surfing,M,45,Y,unknown
Unprovoked,USA,Surfing,M,12,Y,spinner shark
Unprovoked,USA,Surfing,M,21,Y,spinner shark
Unprovoked,USA,Body boarding,M,12,Y,spinner shark
Unprovoked,USA,Surfing,M,22,Y,spinner shark
Unprovoked,USA,Surfing,M,19,Y,spinner shark
Unprovoked,USA,Standing alongside surfboard,M,26,Y,unknown
Unprovoked,USA,Swimming,M,73,Y,unknown
Unprovoked,USA,Surfing,M,27,Y,white shark
Unprovoked,USA,Swimming / snorkeling,F,56,Y,tiger shark
Unprovoked,USA,Surfing,M,17,Y,unknown
Unprovoked,USA,Surfing,M,23,Y,blacktip shark
Unprovoked,USA,Swimming / Body surfing,M,25,Y,unknown
Unprovoked,USA,Wading,M,40,Y,unknown
Unprovoked,USA,Swimming,M,47,Y,was shark
Unprovoked,USA,Jumped into the water,M,69,Y,bull shark
Unprovoked,USA,"Windsurfing, but sitting on his board",M,53,Y,tiger shark
Unprovoked,USA,Surfing / Wading,M,27,Y,juvenile shark
Unprovoked,USA,Standing,F,44,Y,blacktip shark
Unprovoked,USA,Snorkeling,F,45,Y,nurse shark
Unprovoked,USA,Surfing,M,14,Y,colored shark
Unprovoked,USA,Jumping,M,5,Y,lemon shark
Unprovoked,USA,Playing,F,12,Y,tiger shark
Unprovoked,USA,"Spearfishing, holding mesh bag with speared fish",F,55,Y,nurse shark
Unprovoked,USA,Wading,F,13,Y,unknown
Unprovoked,USA,Standing,F,19,Y,blacktip shark
Unprovoked,USA,Surfing,M,17,Y,blacktip shark
Unprovoked,USA,Swimming,M,55,Y,bull shark
Unprovoked,USA,Swimming,M,44,Y,bull shark
Unprovoked,USA,Boogie boarding,F,14,Y,unknown
Unprovoked,USA,Surfing,M,37,Y,unknown
Unprovoked,USA,Spearfishing,M,39,Y,mako shark
Unprovoked,USA,Swimming,F,51,Y,tiger shark
Unprovoked,USA,"Surfing, lying on surfboard",M,16,Y,tiger shark
Unprovoked,USA,Kayaking,M,37,Y,white shark
Unprovoked,USA,Wading,F,61,Y,unknown
Unprovoked,USA,Surfing,M,13,Y,unknown
Provoked,USA,Wading,M,7,Y,unknown
Unprovoked,USA,Surfing,M,28,Y,unknown
Unprovoked,USA,Lying prone in 2' of water,M,10,Y,unknown
Unprovoked,USA,Body surfing,M,62,Y,unknown
Unprovoked,USA,Swimming with dolphins,M,43,Y,bull shark
Unprovoked,USA,Surfing,M,43,Y,tiger shark
Unprovoked,USA,Wading in school of baitfish,F,30,Y,blacktip shark
Unprovoked,USA,Adrift in a life jacket,M,20,Y,unknown
Unprovoked,USA,Surfing,M,21,Y,unknown
Unprovoked,USA,Splashing / wading,M,5,Y,spinner shark
Unprovoked,USA,Swimming near pod of whales,F,29,Y,seen shark
Unprovoked,USA,Surfing,M,25,Y,spinner shark
Unprovoked,USA,Swimming,M,9,Y,tiger shark
Unprovoked,USA,Surfing,M,14,Y,unknown
Unprovoked,USA,Walking,M,13,Y,unknown
Unprovoked,USA,Surfing,M,32,Y,white shark
Unprovoked,USA,Surfing,M,28,Y,unknown
Unprovoked,USA,Surfing,M,26,Y,unknown
Unprovoked,USA,Boogie boarding,M,16,Y,white shark
Unprovoked,USA,Body-boarding,M,11,Y,unknown
Unprovoked,USA,Surfing,M,40,Y,lemon shark
Unprovoked,USA,Swimming,F,14,Y,blacktip shark
Unprovoked,USA,Surfing (lying prone on his board),M,50,Y,white shark
Provoked,USA,Scuba diving,M,16,Y,nurse shark
Unprovoked,USA,Swimming or paddle boarding,M,32,Y,spinner shark
Unprovoked,USA,Body boarding or surfing,M,19,Y,tiger shark
Unprovoked,USA,Surfing,M,23,Y,blacktip shark
Unprovoked,USA,Surfing,M,12,Y,unknown
Unprovoked,USA,Surfing (sitting on his board),M,29,Y,white shark
Unprovoked,USA,Wading,F,10,Y,unknown
Unprovoked,USA,Body surfing,M,17,Y,juvenile shark
Unprovoked,USA,Wading / Surfing,M,19,Y,juvenile shark
Unprovoked,USA,Standing,M,50,Y,blacktip shark
Unprovoked,USA,Surfing,M,18,Y,spinner shark
Unprovoked,USA,"Body surfing, stood up on sandbar",M,33,Y,spinner shark
Unprovoked,USA,Spearfishing,M,35,Y,unknown
Unprovoked,USA,Surfing,M,34,Y,sand shark
Unprovoked,USA,Surfing,M,12,Y,sand shark
Unprovoked,USA,Surfing,M,45,Y,white shark
Unprovoked,USA,Surfing,M,22,Y,white shark
Unprovoked,USA,Surfing,M,21,Y,unknown
Unprovoked,USA,Surfing,M,31,Y,white shark
Unprovoked,USA,Surfing / Swimming,M,19,Y,young shark
Unprovoked,USA,Body Boarding,M,19,Y,tiger shark
Unprovoked,USA,Free diving for abalone,M,36,Y,white shark
Unprovoked,USA,Wade fishing,M,21,Y,hammerhead shark
Unprovoked,USA,Swimming,M,46,Y,unknown
Unprovoked,USA,Standing,F,63,Y,unknown
Unprovoked,USA,Surfing,M,22,Y,unknown
Unprovoked,USA,Surfing,M,27,Y,spinner shark
Provoked,USA,Swimming in fish tank,F,32,Y,nurse shark
Provoked,USA,Wading,M,33,Y,nurse shark
